Date,Filename,Original Size (B),Optimized To (B),Savings (%)
1/20/2015 4:21:47 PM, images/ToolBar.png, 221, 163, 26.2
1/20/2015 4:21:48 PM, images/ToggleWorld.png, 505, 287, 43.2
1/20/2015 4:21:48 PM, images/ToggleWireframe.png, 449, 261, 41.9
1/20/2015 4:21:48 PM, images/ToggleViewBySchema.png, 347, 209, 39.8
1/20/2015 4:21:49 PM, images/ToggleStackView.png, 338, 192, 43.2
1/20/2015 4:21:49 PM, images/TogglePivotFreeForm.png, 584, 354, 39.4
1/20/2015 4:21:49 PM, images/TogglePivot.png, 548, 291, 46.9
1/20/2015 4:21:50 PM, images/ToggleGuides.png, 217, 144, 33.6
1/20/2015 4:21:50 PM, images/ToggleButton.png, 256, 173, 32.4
1/20/2015 4:21:50 PM, images/ToggleAllBreakpoints.png, 450, 249, 44.7
1/20/2015 4:21:51 PM, images/TitleTag.png, 370, 226, 38.9
1/20/2015 4:21:51 PM, images/Timer.png, 468, 257, 45.1
1/20/2015 4:21:51 PM, images/TimePickerScroller.png, 536, 328, 38.8
1/20/2015 4:21:52 PM, images/TimePickerList.png, 412, 245, 40.5
1/20/2015 4:21:52 PM, images/TimePicker.png, 599, 534, 10.9
1/20/2015 4:21:52 PM, images/Timeout.png, 668, 469, 29.8
1/20/2015 4:21:53 PM, images/TimelineMarkRed.png, 238, 155, 34.9
1/20/2015 4:21:53 PM, images/TimelineMarkPurple.png, 271, 155, 42.8
1/20/2015 4:21:53 PM, images/TimelineMarkGray.png, 249, 155, 37.8
1/20/2015 4:21:54 PM, images/TimelineMarkBlack.png, 209, 155, 25.8
1/20/2015 4:21:54 PM, images/Timeline.png, 261, 174, 33.3
1/20/2015 4:21:54 PM, images/Time.png, 525, 357, 32
1/20/2015 4:21:55 PM, images/TIFFile.png, 306, 178, 41.8
1/20/2015 4:21:55 PM, images/Throw.png, 245, 178, 27.3
1/20/2015 4:21:55 PM, images/ThresholdRule.png, 409, 241, 41.1
1/20/2015 4:21:56 PM, images/ThreeRows.png, 175, 137, 21.7
1/20/2015 4:21:56 PM, images/ThreeLineBreakChart.png, 221, 155, 29.9
1/20/2015 4:21:56 PM, images/ThreeDScene.png, 731, 559, 23.5
1/20/2015 4:21:57 PM, images/ThreeDPolygonSubdivision.png, 212, 147, 30.7
1/20/2015 4:21:57 PM, images/ThreeDExtrude.png, 374, 229, 38.8
1/20/2015 4:21:57 PM, images/ThreeColumns.png, 179, 136, 24
1/20/2015 4:21:58 PM, images/ThreadStopped.png, 591, 377, 36.2
1/20/2015 4:21:58 PM, images/Thread.png, 536, 338, 36.9
1/20/2015 4:21:58 PM, images/ThirdOfThreeRows.png, 177, 139, 21.5
1/20/2015 4:21:59 PM, images/ThirdOfThreeColumns.png, 180, 135, 25
1/20/2015 4:21:59 PM, images/ThirdOfFourRows.png, 175, 139, 20.6
1/20/2015 4:21:59 PM, images/ThirdOfFourColumns.png, 176, 136, 22.7
1/20/2015 4:22:00 PM, images/TFSServer.png, 338, 208, 38.5
1/20/2015 4:22:00 PM, images/TexturePicker.png, 464, 288, 37.9
1/20/2015 4:22:00 PM, images/TextSpaceBefore.png, 283, 170, 39.9
1/20/2015 4:22:00 PM, images/TextSpaceAfter.png, 276, 170, 38.4
1/20/2015 4:22:01 PM, images/TextRight.png, 195, 137, 29.7
1/20/2015 4:22:01 PM, images/TextLineHeight.png, 261, 177, 32.2
1/20/2015 4:22:01 PM, images/TextLeft.png, 207, 141, 31.9
1/20/2015 4:22:02 PM, images/TextJustify.png, 165, 128, 22.4
1/20/2015 4:22:02 PM, images/TextFile.png, 286, 194, 32.2
1/20/2015 4:22:02 PM, images/TextElement.png, 218, 153, 29.8
1/20/2015 4:22:03 PM, images/TextCenter.png, 214, 145, 32.2
1/20/2015 4:22:03 PM, images/TextBox.png, 215, 154, 28.4
1/20/2015 4:22:03 PM, images/TextBlock.png, 195, 124, 36.4
1/20/2015 4:22:03 PM, images/TextArea.png, 294, 174, 40.8
1/20/2015 4:22:04 PM, images/TextAndImage.png, 305, 208, 31.8
1/20/2015 4:22:04 PM, images/TestVariable.png, 492, 327, 33.5
1/20/2015 4:22:04 PM, images/TestSuiteRequirement.png, 528, 346, 34.5
1/20/2015 4:22:05 PM, images/TestSuite.png, 359, 229, 36.2
1/20/2015 4:22:05 PM, images/TestSettings.png, 526, 303, 42.4
1/20/2015 4:22:05 PM, images/TestRunProperty.png, 525, 288, 45.1
1/20/2015 4:22:05 PM, images/TestRunner.png, 246, 158, 35.8
1/20/2015 4:22:06 PM, images/TestRun.png, 436, 282, 35.3
1/20/2015 4:22:06 PM, images/TestResultDetails.png, 519, 314, 39.5
1/20/2015 4:22:06 PM, images/TestResult.png, 535, 341, 36.3
1/20/2015 4:22:07 PM, images/TestProperty.png, 442, 281, 36.4
1/20/2015 4:22:07 PM, images/TestPlans.png, 351, 196, 44.2
1/20/2015 4:22:07 PM, images/TestPlanProperty.png, 492, 362, 26.4
1/20/2015 4:22:08 PM, images/TestPlan.png, 361, 217, 39.9
1/20/2015 4:22:08 PM, images/TestPass.png, 400, 265, 33.8
1/20/2015 4:22:08 PM, images/TestNotInList.png, 538, 318, 40.9
1/20/2015 4:22:08 PM, images/TestManager.png, 525, 318, 39.4
1/20/2015 4:22:09 PM, images/TestList.png, 451, 265, 41.2
1/20/2015 4:22:09 PM, images/TestGroup.png, 421, 232, 44.9
1/20/2015 4:22:09 PM, images/TestController.png, 400, 265, 33.8
1/20/2015 4:22:10 PM, images/TestApplication.png, 374, 239, 36.1
1/20/2015 4:22:10 PM, images/Test.png, 484, 324, 33.1
1/20/2015 4:22:10 PM, images/TerminateProcess.png, 457, 244, 46.6
1/20/2015 4:22:10 PM, images/TermExtraction.png, 401, 233, 41.9
1/20/2015 4:22:11 PM, images/TemplateShortcut.png, 392, 232, 40.8
1/20/2015 4:22:11 PM, images/TemplateSealed.png, 434, 241, 44.5
1/20/2015 4:22:11 PM, images/TemplatePublic.png, 362, 225, 37.8
1/20/2015 4:22:12 PM, images/TemplateProtected.png, 452, 258, 42.9
1/20/2015 4:22:12 PM, images/TemplatePrivate.png, 389, 231, 40.6
1/20/2015 4:22:12 PM, images/TemplateInternal.png, 430, 247, 42.6
1/20/2015 4:22:13 PM, images/TemplateColumn.png, 247, 153, 38.1
1/20/2015 4:22:13 PM, images/Template.png, 362, 225, 37.8
1/20/2015 4:22:13 PM, images/TeapotPreview.png, 504, 334, 33.7
1/20/2015 4:22:13 PM, images/TeamProjectRepositoryFolder.png, 523, 322, 38.4
1/20/2015 4:22:14 PM, images/TeamProjectCollectionOffline.png, 451, 218, 51.7
1/20/2015 4:22:14 PM, images/TeamProjectCollection.png, 265, 153, 42.3
1/20/2015 4:22:14 PM, images/TeamGitRepository.png, 534, 307, 42.5
1/20/2015 4:22:15 PM, images/TeamFoundationServer.png, 334, 214, 35.9
1/20/2015 4:22:15 PM, images/Team.png, 363, 209, 42.4
1/20/2015 4:22:15 PM, images/TaskListId.png, 393, 267, 32.1
1/20/2015 4:22:16 PM, images/TaskList.png, 314, 218, 30.6
1/20/2015 4:22:16 PM, images/TaskContentType.png, 341, 221, 35.2
1/20/2015 4:22:16 PM, images/Task.png, 279, 208, 25.4
1/20/2015 4:22:16 PM, images/TapeDrive.png, 275, 169, 38.5
1/20/2015 4:22:17 PM, images/TakeSourceVersion.png, 414, 231, 44.2
1/20/2015 4:22:17 PM, images/TakeSnapshot.png, 473, 250, 47.1
1/20/2015 4:22:17 PM, images/TagSnippet.png, 301, 169, 43.9
1/20/2015 4:22:18 PM, images/Tag.png, 248, 158, 36.3
1/20/2015 4:22:18 PM, images/TableWizard.png, 355, 257, 27.6
1/20/2015 4:22:18 PM, images/TableWarning.png, 350, 220, 37.1
1/20/2015 4:22:18 PM, images/TableViewNameOnly.png, 204, 146, 28.4
1/20/2015 4:22:19 PM, images/TabletWarning.png, 336, 213, 36.6
1/20/2015 4:22:19 PM, images/TabletSettings.png, 390, 270, 30.8
1/20/2015 4:22:19 PM, images/TableScript.png, 356, 224, 37.1
1/20/2015 4:22:20 PM, images/TableOK.png, 429, 259, 39.6
1/20/2015 4:22:20 PM, images/TableMissing.png, 427, 299, 30
1/20/2015 4:22:20 PM, images/TableKey.png, 431, 280, 35
1/20/2015 4:22:20 PM, images/TableHeader.png, 198, 139, 29.8
1/20/2015 4:22:21 PM, images/TableGroupError.png, 358, 223, 37.7
1/20/2015 4:22:21 PM, images/TableGroup.png, 254, 153, 39.8
1/20/2015 4:22:21 PM, images/TableFunctionWarning.png, 507, 321, 36.7
1/20/2015 4:22:22 PM, images/TableFunctionError.png, 465, 315, 32.3
1/20/2015 4:22:22 PM, images/TableFunction.png, 473, 303, 35.9
1/20/2015 4:22:22 PM, images/TableFillRight.png, 250, 163, 34.8
1/20/2015 4:22:23 PM, images/TableFillLeft.png, 249, 164, 34.1
1/20/2015 4:22:23 PM, images/TableFillDown.png, 260, 172, 33.8
1/20/2015 4:22:23 PM, images/TableError.png, 378, 234, 38.1
1/20/2015 4:22:23 PM, images/TableAlignTop.png, 252, 155, 38.5
1/20/2015 4:22:24 PM, images/TableAlignMiddle.png, 248, 154, 37.9
1/20/2015 4:22:24 PM, images/TableAlignBottom.png, 245, 152, 38
1/20/2015 4:22:24 PM, images/TableAdapter.png, 446, 268, 39.9
